gene,species,genus,family,order,class,phylum,kingdom
YP_081463.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081463.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081464.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081464.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081465.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081465.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081466.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081466.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081467.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081467.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081468.2,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081468.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081469.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081469.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081470.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081470.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081471.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081471.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081472.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081472.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081473.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081473.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081473.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081474.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081474.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081474.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081474.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081475.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081475.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081475.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081476.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081476.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081476.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081476.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081477.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081477.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081478.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081478.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081478.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081478.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081478.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081479.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081479.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081480.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081480.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081480.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081480.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081480.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081481.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081481.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081481.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081482.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081482.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081482.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081482.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081482.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081483.2,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081483.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081483.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081483.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081483.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081484.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081484.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081484.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081484.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081485.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081485.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081485.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081485.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081485.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081486.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081486.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081487.2,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081487.2,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081489.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081489.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081489.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081490.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081490.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081490.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081491.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081491.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081492.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081492.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081493.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081493.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081494.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081494.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081494.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081494.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081495.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081495.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081496.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081496.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081497.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081497.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081497.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081498.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081498.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081499.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081500.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081500.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081500.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081500.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081500.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081501.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081501.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081502.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081502.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081503.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081503.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081504.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081505.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081505.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081506.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081506.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081507.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081507.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081507.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081508.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081508.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081509.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081509.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081510.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081510.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081510.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081510.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081511.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081511.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081512.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081512.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081513.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081513.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081514.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081514.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081515.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081515.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081516.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081516.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081517.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081517.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081518.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081518.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081519.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081519.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081520.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081520.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081521.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081521.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081522.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081522.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081523.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081523.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081524.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081524.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081525.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081525.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081526.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081526.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081526.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081526.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081527.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081527.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081528.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081528.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081529.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081529.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081530.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081530.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081530.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081531.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081531.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081532.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081532.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081533.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081534.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081534.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081534.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081534.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081534.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081535.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081535.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081536.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081536.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081536.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081536.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081536.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081537.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081537.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081537.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081537.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081537.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081538.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081538.1,Human cytomegalovirus, Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
YP_081539.1,,Cytomegalovirus, Herpesviridae, Herpesvirales, Herviviricetes, Peploviricota, Heunggongvirae
